YearBuilt,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,SalePrice
2003,1710,1,0,2,1,208500
1976,1262,0,1,2,0,181500
2001,1786,1,0,2,1,223500
1915,1717,1,0,1,0,140000
2000,2198,1,0,2,1,250000
1993,1362,1,0,1,1,143000
2004,1694,1,0,2,0,307000
1973,2090,1,0,2,1,200000
1931,1774,0,0,2,0,129900
1939,1077,1,0,1,0,118000
1965,1040,1,0,1,0,129500
2005,2324,1,0,3,0,345000
1962,912,1,0,1,0,144000
2006,1494,0,0,2,0,279500
1960,1253,1,0,1,1,157000
1929,854,0,0,1,0,132000
1970,1004,1,0,1,0,149000
1967,1296,0,0,2,0,90000
2004,1114,1,0,1,1,159000
1958,1339,0,0,1,0,139000
2005,2376,0,0,3,1,325300
1930,1108,0,0,1,0,139400
2002,1795,0,0,2,0,230000
1976,1060,1,0,1,0,129900
1968,1060,1,0,1,0,154000
2007,1600,0,0,2,0,256300
1951,900,0,1,1,0,134800
2007,1704,1,0,2,0,306000
1957,1600,1,0,1,0,207500
1927,520,0,0,1,0,68500
1920,1317,0,0,1,0,40000
1966,1228,0,0,1,1,149350
2007,1234,0,0,2,0,179900
1959,1700,0,1,1,1,165500
2005,1561,1,0,2,0,277500
2004,2452,0,0,3,1,309000
1994,1097,0,0,1,1,145000
1954,1297,0,1,1,0,153000
1953,1057,1,0,1,0,109000
1955,1152,0,0,2,0,82000
1965,1324,0,0,2,0,160000
1959,1328,0,1,1,1,170000
1983,884,1,0,1,0,144000
1975,938,1,0,1,0,130250
1959,1150,1,0,1,0,141000
2005,1752,1,0,2,0,319900
2003,2149,1,0,1,1,239686
2006,1656,0,0,2,0,249700
1920,1452,0,0,2,0,113000
1966,955,1,0,1,0,127000
1997,1470,0,1,2,0,177000
1934,1176,0,0,1,0,114500
1963,816,1,0,1,0,110000
1981,1842,2,0,0,1,385000
1955,1360,0,0,1,0,130000
1964,1425,0,0,2,0,180500
1999,1739,1,0,2,1,172500
2004,1720,0,0,2,1,196500
2006,2945,0,0,3,1,438780
1972,780,0,0,1,0,124900
2004,1158,1,0,1,1,158000
1920,1111,0,0,1,0,101000
2006,1370,0,0,2,0,202500
1921,1710,0,0,2,0,140000
1997,2034,1,0,2,1,219500
2004,2473,0,0,2,1,317000
1970,2207,1,0,2,0,180000
2003,1479,1,0,2,0,226000
1945,747,0,0,1,0,80000
1953,2287,0,0,2,0,225000
1973,2223,1,0,2,0,244000
1982,845,1,0,1,0,129500
1998,1718,0,0,2,1,185000
1954,1086,1,0,1,0,144900
1915,1605,0,0,2,0,107400
1973,988,1,0,1,0,91000
1956,952,0,0,1,0,135750
1948,1285,1,0,1,0,127000
1968,1768,0,0,2,0,136500
1910,1230,0,0,1,1,110000
1968,2142,0,0,2,1,193500
1998,1337,1,0,2,0,153500
2007,1563,0,0,2,0,245000
1960,1065,0,0,1,1,126500
1995,1474,0,0,2,1,168500
1991,2417,0,0,2,1,260000
2005,1560,0,0,2,1,174000
2009,1224,0,0,2,1,164500
1915,1526,0,0,1,0,85000
1994,990,1,0,1,0,123600
1950,1040,0,0,1,0,109900
1961,1235,0,0,1,0,98600
1921,964,1,0,1,0,163500
1910,2291,0,1,2,0,133900
1997,1786,1,0,2,1,204750
1993,1470,0,0,2,1,185000
1999,1588,0,0,2,0,214000
1965,960,1,0,1,0,94750
1920,835,0,0,1,0,83000
1959,1225,1,0,1,1,128950
1977,1610,1,0,2,0,205000
1985,1732,0,0,2,1,178000
1979,1535,0,0,2,0,118964
2009,1226,0,0,2,0,198900
1931,1818,0,0,1,1,169500
2003,1992,0,0,2,1,250000
1885,1047,0,0,1,0,100000
1948,789,0,0,1,0,115000
1919,1517,0,0,2,0,115000
1977,1844,0,0,2,0,190000
1954,1855,0,0,2,0,136900
2000,1430,0,0,2,1,180000
2007,2696,1,0,2,1,383970
1953,2259,1,0,2,0,217000
1945,2320,1,0,2,1,259500
1999,1458,0,0,2,1,176000
1962,1092,0,1,1,0,139000
2006,1125,0,0,1,1,155000
1990,3222,1,0,3,0,320000
2005,1456,0,0,2,1,163990
1969,988,1,0,1,0,180000
1939,1123,0,0,1,0,100000
1958,1080,0,0,1,0,136000
1993,1199,0,0,2,0,153900
1979,1586,0,0,2,0,181000
1935,754,1,0,1,0,84500
1976,958,0,0,2,0,128000
1930,840,0,0,1,0,87000
1966,1348,0,0,1,1,155000
1958,1053,0,1,1,1,150000
1966,2157,0,0,2,1,226000
2000,2054,1,0,2,1,244000
1959,1327,1,0,1,0,150750
2001,1296,1,0,2,0,220000
1968,1721,0,0,2,1,180000
1970,1682,0,0,2,0,174000
1967,1214,0,0,2,0,143000
1988,1959,0,0,3,0,171000
1999,1852,0,0,2,1,230000
1997,1764,1,0,2,1,231500
1971,864,0,0,1,0,115000
2005,1734,1,0,2,0,260000
1952,1385,0,0,2,0,166000
1999,1501,1,0,2,0,204000
1963,1728,1,0,2,0,125000
2004,1709,0,0,2,0,130000
1931,875,1,0,1,0,105000
2001,2035,0,0,2,1,222500
2004,1080,1,0,1,0,141000
1936,1344,0,0,1,0,115000
1975,969,0,0,1,1,122000
2007,1710,1,0,2,0,372402
1971,1993,0,0,2,1,190000
1960,1252,1,0,1,0,235000
1923,1200,0,0,1,0,125000
1924,1096,0,0,1,0,79000
1950,1040,0,0,1,0,109500
2009,1968,0,0,2,1,269500
2004,1947,0,0,2,1,254900
2005,2462,1,0,2,1,320000
1984,1232,0,0,2,0,162500
2003,2668,1,0,2,1,412500
2005,1541,0,0,2,0,220000
1956,882,0,0,1,0,103200
1926,1616,0,0,2,0,152000
1940,1355,1,0,2,0,127500
1955,1867,1,0,1,0,190000
2007,2161,1,0,1,1,325624
2004,1720,0,0,2,1,183500
1981,1707,0,0,2,1,228000
1941,1382,0,0,1,1,128500
1960,1656,1,0,1,0,215000
1987,1767,1,0,2,0,239000
1961,1362,1,0,1,1,163000
1986,1651,1,0,2,0,184000
1950,2158,1,0,2,0,243000
1988,2060,0,1,2,1,211000
1958,1920,1,0,2,0,172500
2008,2234,1,0,2,0,501837
1923,968,0,0,1,0,100000
2000,1525,0,0,2,1,177000
1920,1802,0,0,1,1,200100
1957,1340,0,0,1,0,120000
2003,2082,0,0,2,1,200000
1908,1252,0,0,1,0,127000
1892,3608,0,0,2,1,475000
1990,1217,1,0,2,0,173000
1916,1656,0,0,2,1,135000
1979,1224,2,0,0,2,153337
2001,1593,1,0,1,1,286000
1932,2727,0,0,2,1,315000
1972,1479,1,0,1,1,184000
1999,1431,1,0,2,0,192000
2004,1709,0,0,2,0,130000
1972,864,0,0,1,0,127000
1976,1456,0,0,2,1,148500
2007,1726,1,0,2,0,311872
1918,3112,1,1,2,0,235000
1912,2229,0,0,1,0,104000
2004,1713,1,0,2,0,274900
2003,1121,0,0,2,0,140000
1977,1279,0,1,2,0,171500
1924,1310,0,0,2,0,112000
2004,848,1,0,1,0,149000
1947,1284,0,0,1,1,110000
1990,1442,0,0,2,0,180500
1962,1696,0,0,1,1,143900
1960,1100,1,0,1,0,141000
1988,2062,1,0,2,1,277000
1964,1092,1,0,1,0,145000
1925,864,1,0,1,0,98000
2009,1212,0,0,2,0,186000
2009,1852,1,0,2,1,252678
1995,990,0,1,1,0,156000
1977,1392,0,0,1,1,161750
1957,1236,0,1,1,0,134450
2004,1436,1,0,2,0,210000
1925,1328,0,0,1,0,107000
1939,1954,0,1,1,1,311500
2005,1248,0,0,2,0,167240
2006,1498,0,0,2,0,204900
2002,2267,0,0,2,1,200000
1975,1552,1,0,2,1,179900
1971,864,0,0,1,0,97000
2003,2392,0,0,2,0,386250
1971,1302,0,0,2,1,112000
1995,2520,0,0,2,1,290000
1970,987,0,0,1,1,106000
1967,912,0,0,1,0,125000
2005,1555,0,0,2,0,192500
1959,1194,1,0,1,0,148000
1995,2794,1,0,2,1,403000
1972,987,0,0,1,1,94500
1976,894,1,0,1,0,128200
2002,1960,1,0,2,1,216500
1971,987,0,0,1,1,89500
2004,1414,0,0,2,0,185500
1993,1744,0,0,2,1,194500
2007,1694,0,0,2,0,318000
1945,1487,0,0,1,1,113000
2008,1566,1,0,2,0,262500
1945,866,0,0,1,0,110500
1900,1440,0,0,1,0,79000
1980,1217,0,0,1,1,120000
1994,2110,1,0,2,1,205000
1988,1872,0,1,2,0,241500
1910,1928,0,0,2,0,137000
1954,1375,0,0,1,0,140000
2003,1668,0,0,2,1,180000
1958,2144,0,1,2,0,277000
1940,1306,0,0,1,0,76500
2006,1625,1,1,2,0,235000
2004,1640,0,0,2,1,173000
1964,1302,0,1,2,0,158000
1957,1314,1,0,1,0,145000
1999,2291,0,0,2,1,230000
2003,1728,0,0,2,1,207500
2006,1604,1,0,2,1,220000
2001,1792,0,0,2,1,231500
1956,882,0,0,1,0,97000
1962,1382,1,0,1,0,176000
2007,2574,0,0,2,1,276000
1977,1212,1,0,1,0,151000
1929,1316,1,0,1,0,130000
1925,764,0,0,1,0,73000
1981,1422,0,0,2,0,175500
1997,1511,1,0,2,1,185000
1939,2192,0,0,2,1,179500
1940,778,0,0,1,0,120500
1976,1113,1,0,1,1,148000
2006,1939,0,0,2,1,266000
1954,1363,1,0,1,0,241500
1999,2270,0,0,2,1,290000
1958,1632,1,0,2,0,139000
1982,816,0,0,1,0,124500
1925,1548,0,0,2,1,205000
2003,1560,0,0,2,0,201000
1951,864,0,0,1,0,141000
2006,2121,0,0,2,1,415298
1977,2022,0,0,2,1,192000
1989,1982,0,0,2,1,228500
2006,1262,0,0,2,0,185000
2007,1314,1,0,2,0,207500
2008,1468,0,0,2,0,244600
1992,1575,1,0,2,0,179200
2006,1250,0,0,2,1,164700
1962,1734,0,0,1,1,159000
1971,858,0,0,1,0,88000
1967,900,0,0,1,0,122000
1915,1396,0,0,1,0,153575
2006,1919,0,0,2,1,233230
1912,1716,1,0,2,0,135900
1949,1716,0,0,1,1,131000
1977,2263,1,0,2,1,235000
1953,1644,1,0,1,0,167000
1984,1003,1,0,1,0,142500
1950,1558,0,0,1,1,152000
1997,1950,0,0,2,1,239000
1968,1743,0,1,1,2,175000
1950,1152,0,1,1,0,158500
1953,1336,1,0,1,0,157000
1998,2452,0,0,2,1,267000
2001,1541,0,0,2,0,205000
1972,894,1,0,1,0,149900
1880,3493,0,0,3,0,295000
2004,2000,1,0,2,0,305900
1990,2243,1,0,2,1,225000
1920,1406,0,0,1,0,89500
1940,861,0,0,1,0,82500
2003,1944,1,0,2,0,360000
1993,1501,0,0,2,1,165600
1948,972,1,0,1,0,132000
1939,1118,1,0,1,0,119900
1965,2036,2,0,2,0,375000
1925,1641,0,1,1,1,178000
2004,1432,1,0,2,1,188500
1980,2353,1,0,2,1,260000
2006,1959,0,0,2,1,270000
1993,2646,1,0,2,1,260000
1980,1472,1,0,2,0,187500
2006,2596,0,0,3,1,342643
2004,2468,1,0,2,1,354000
1986,2730,1,0,2,1,301000
1955,1163,1,0,1,0,126175
1967,2978,0,0,2,1,242000
1941,803,0,0,1,0,87000
1993,1719,2,0,1,1,324000
1960,1383,0,0,1,1,145250
1916,2134,0,0,2,0,214500
1920,1192,0,0,1,0,78000
1964,1728,0,1,2,0,119000
1958,1056,1,0,1,0,139000
2003,1629,1,0,2,0,284000
2004,1358,1,0,2,0,207000
1998,1638,1,0,2,1,192000
1965,1786,2,0,2,0,228950
2005,1922,1,0,2,0,377426
2002,1536,1,0,2,0,214000
1984,1621,1,0,2,0,202500
1958,1215,0,0,1,0,155000
2002,1908,0,0,2,1,202900
1950,841,0,0,1,0,82000
1949,1040,0,0,2,0,87500
2005,1684,0,0,2,0,266000
1976,1112,0,0,1,1,85000
1939,1577,0,0,1,0,140200
1960,958,0,0,1,0,151500
1960,1478,1,0,2,0,157500
2003,1626,1,0,2,1,154000
2005,2728,1,0,2,1,437154
2007,1869,0,0,2,0,318061
1986,1453,1,0,1,1,190000
1941,1111,0,1,1,0,95000
1928,720,0,0,1,0,105900
1940,1595,0,0,1,0,140000
1995,1200,1,0,2,0,177500
1992,1167,1,0,2,0,173000
1976,1142,1,0,1,1,134000
1958,1352,0,1,1,0,130000
1998,1924,1,0,2,1,280000
1978,912,1,0,1,0,156000
1940,1505,1,0,1,0,145000
2003,1922,0,0,3,0,198500
1972,987,0,0,1,1,118000
1976,1574,1,0,2,1,190000
1920,1344,0,0,1,0,147000
1963,1394,1,0,1,1,159000
1962,1431,0,1,1,0,165000
1954,1268,0,0,1,0,132000
1959,1287,1,0,1,0,162000
2000,1664,0,0,2,1,172400
1959,1588,0,0,2,0,134432
1984,752,1,0,1,0,125000
1953,1319,1,0,1,0,123000
2003,1928,0,0,2,1,219500
1922,904,1,0,0,1,61000
1996,914,0,0,1,0,148000
2004,2466,0,0,3,0,340000
2010,1856,1,0,1,1,394432
2000,1800,0,0,2,1,179000
1924,1691,0,0,2,0,127000
2006,1301,1,0,2,0,187750
2006,1797,0,0,2,1,213500
1928,784,0,0,1,0,76000
1992,1953,1,0,2,1,240000
2004,1269,0,0,2,0,192000
1910,1184,0,0,1,0,81000
1976,1125,1,0,1,0,125000
1999,1479,0,0,2,0,191000
2007,2332,1,0,2,1,426000
1900,1367,1,0,1,0,119000
2001,1961,1,0,2,1,215000
1959,882,0,0,1,0,106500
1941,788,0,0,1,0,100000
1940,1034,0,0,1,0,109000
1956,1144,1,0,1,0,129000
1972,894,0,0,1,0,123000
1962,1812,0,0,2,0,169500
1920,1077,0,0,1,0,67000
2006,1550,1,0,2,0,241000
1996,1288,1,0,1,1,245500
2005,1310,0,0,2,0,164990
1940,672,0,0,1,0,108000
1998,2263,0,0,2,1,258000
1995,1572,0,0,2,1,168000
1976,1620,1,0,2,0,150000
1936,1639,0,0,1,0,115000
1915,1680,0,0,2,0,177000
2006,2172,0,0,2,1,280000
2007,2078,1,0,2,1,339750
1958,1276,0,0,1,0,60000
1955,1056,1,0,1,0,145000
2009,1478,1,0,2,1,222000
1927,1028,0,0,1,0,115000
1993,2097,0,1,2,1,228000
2007,1340,0,0,2,0,181134
1978,1400,0,0,1,1,149500
1918,2624,1,0,2,1,239000
1940,1134,1,0,1,1,126000
1968,1056,1,0,1,0,142000
1997,1344,2,0,2,0,206300
1977,1602,0,1,2,0,215000
1954,988,0,0,1,0,113000
1998,2630,1,0,2,1,315000
1956,1196,1,0,1,0,139000
1946,1389,0,0,1,1,135000
1989,1644,1,1,2,0,275000
1957,907,0,0,1,0,109008
2007,1208,1,0,2,0,195400
1988,1412,1,0,2,0,175000
1971,987,0,0,1,1,85400
1920,1198,0,0,1,0,79900
1971,1365,1,0,1,1,122500
1997,1604,0,0,2,1,181000
1972,630,1,0,1,0,81000
1996,1661,1,0,2,1,212000
1920,1118,0,0,1,0,116000
1926,904,0,0,1,0,119000
1913,694,0,0,1,0,90350
1920,1196,0,0,1,0,110000
2008,2402,1,0,2,0,555000
1955,1440,0,0,2,0,118000
1930,1573,0,0,2,0,162900
2006,1258,0,0,2,0,172500
1994,1908,1,0,2,1,210000
1956,1689,0,0,1,0,127500
1966,1888,0,0,2,1,190000
1998,1886,0,0,2,1,199900
1937,1376,0,0,2,0,119500
1948,1183,0,0,1,1,120000
1930,813,0,0,1,0,110000
